"Area_Name","Area_Code","Area_Type","Sex","Age_group","Age_band_type","Year","Population","Data_type"
"Arun","E07000224","District","Male","20-24 years","5 years","2011",3735,"Estimates - ONS"
"Arun","E07000224","District","Male","25-29 years","5 years","2011",3634,"Estimates - ONS"
"Arun","E07000224","District","Male","30-34 years","5 years","2011",3478,"Estimates - ONS"
"Arun","E07000224","District","Male","35-39 years","5 years","2011",3839,"Estimates - ONS"
"Arun","E07000224","District","Male","40-44 years","5 years","2011",4938,"Estimates - ONS"
"Arun","E07000224","District","Male","45-49 years","5 years","2011",5072,"Estimates - ONS"
"Arun","E07000224","District","Male","5-9 years","5 years","2011",3539,"Estimates - ONS"
"Arun","E07000224","District","Male","50-54 years","5 years","2011",4549,"Estimates - ONS"
"Arun","E07000224","District","Male","55-59 years","5 years","2011",4367,"Estimates - ONS"
"Arun","E07000224","District","Male","60-64 years","5 years","2011",5281,"Estimates - ONS"
"Arun","E07000224","District","Male","65-69 years","5 years","2011",5029,"Estimates - ONS"
"Arun","E07000224","District","Male","70-74 years","5 years","2011",4096,"Estimates - ONS"
"Arun","E07000224","District","Male","75-79 years","5 years","2011",3454,"Estimates - ONS"
"Arun","E07000224","District","Male","80-84 years","5 years","2011",2550,"Estimates - ONS"
"Arun","E07000224","District","Male","85-89 years","5 years","2011",1460,"Estimates - ONS"
"Arun","E07000224","District","Male","90+ years","5 years","2011",691,"Estimates - ONS"
"Chichester","E07000225","District","Female","0-4 years","5 years","2011",2726,"Estimates - ONS"
"Chichester","E07000225","District","Female","10-14 years","5 years","2011",2875,"Estimates - ONS"
"Chichester","E07000225","District","Female","15-19 years","5 years","2011",3110,"Estimates - ONS"
"Chichester","E07000225","District","Female","20-24 years","5 years","2011",3124,"Estimates - ONS"
"Chichester","E07000225","District","Female","25-29 years","5 years","2011",2579,"Estimates - ONS"
"Chichester","E07000225","District","Female","30-34 years","5 years","2011",2703,"Estimates - ONS"
"Chichester","E07000225","District","Female","35-39 years","5 years","2011",3223,"Estimates - ONS"
"Chichester","E07000225","District","Female","40-44 years","5 years","2011",3860,"Estimates - ONS"
"Chichester","E07000225","District","Female","45-49 years","5 years","2011",4423,"Estimates - ONS"
"Chichester","E07000225","District","Female","5-9 years","5 years","2011",2751,"Estimates - ONS"
"Chichester","E07000225","District","Female","50-54 years","5 years","2011",4104,"Estimates - ONS"
"Chichester","E07000225","District","Female","55-59 years","5 years","2011",3690,"Estimates - ONS"
"Chichester","E07000225","District","Female","60-64 years","5 years","2011",4547,"Estimates - ONS"
"Chichester","E07000225","District","Female","65-69 years","5 years","2011",3974,"Estimates - ONS"
"Chichester","E07000225","District","Female","70-74 years","5 years","2011",3320,"Estimates - ONS"
"Chichester","E07000225","District","Female","75-79 years","5 years","2011",3025,"Estimates - ONS"
"Chichester","E07000225","District","Female","80-84 years","5 years","2011",2514,"Estimates - ONS"
"Chichester","E07000225","District","Female","85-89 years","5 years","2011",1758,"Estimates - ONS"
"Chichester","E07000225","District","Female","90+ years","5 years","2011",1152,"Estimates - ONS"
"Chichester","E07000225","District","Male","0-4 years","5 years","2011",2914,"Estimates - ONS"
"Chichester","E07000225","District","Male","10-14 years","5 years","2011",3212,"Estimates - ONS"
"Chichester","E07000225","District","Male","15-19 years","5 years","2011",3340,"Estimates - ONS"
"Chichester","E07000225","District","Male","20-24 years","5 years","2011",3191,"Estimates - ONS"
"Chichester","E07000225","District","Male","25-29 years","5 years","2011",2605,"Estimates - ONS"
"Chichester","E07000225","District","Male","30-34 years","5 years","2011",2511,"Estimates - ONS"
"Chichester","E07000225","District","Male","35-39 years","5 years","2011",2856,"Estimates - ONS"
"Chichester","E07000225","District","Male","40-44 years","5 years","2011",3587,"Estimates - ONS"
"Chichester","E07000225","District","Male","45-49 years","5 years","2011",3937,"Estimates - ONS"
"Chichester","E07000225","District","Male","5-9 years","5 years","2011",2909,"Estimates - ONS"
"Chichester","E07000225","District","Male","50-54 years","5 years","2011",3675,"Estimates - ONS"
"Chichester","E07000225","District","Male","55-59 years","5 years","2011",3542,"Estimates - ONS"
"Chichester","E07000225","District","Male","60-64 years","5 years","2011",3944,"Estimates - ONS"
"Chichester","E07000225","District","Male","65-69 years","5 years","2011",3668,"Estimates - ONS"
"Chichester","E07000225","District","Male","70-74 years","5 years","2011",2942,"Estimates - ONS"
"Chichester","E07000225","District","Male","75-79 years","5 years","2011",2498,"Estimates - ONS"
"Chichester","E07000225","District","Male","80-84 years","5 years","2011",1765,"Estimates - ONS"
"Chichester","E07000225","District","Male","85-89 years","5 years","2011",995,"Estimates - ONS"
"Chichester","E07000225","District","Male","90+ years","5 years","2011",446,"Estimates - ONS"
"Crawley","E07000226","District","Female","0-4 years","5 years","2011",3938,"Estimates - ONS"
"Crawley","E07000226","District","Female","10-14 years","5 years","2011",2999,"Estimates - ONS"
"Crawley","E07000226","District","Female","15-19 years","5 years","2011",3063,"Estimates - ONS"
"Crawley","E07000226","District","Female","20-24 years","5 years","2011",3469,"Estimates - ONS"
"Crawley","E07000226","District","Female","25-29 years","5 years","2011",4610,"Estimates - ONS"
"Crawley","E07000226","District","Female","30-34 years","5 years","2011",4668,"Estimates - ONS"
"Crawley","E07000226","District","Female","35-39 years","5 years","2011",4005,"Estimates - ONS"
"Crawley","E07000226","District","Female","40-44 years","5 years","2011",3966,"Estimates - ONS"
"Crawley","E07000226","District","Female","45-49 years","5 years","2011",3744,"Estimates - ONS"
"Crawley","E07000226","District","Female","5-9 years","5 years","2011",3132,"Estimates - ONS"
"Crawley","E07000226","District","Female","50-54 years","5 years","2011",3409,"Estimates - ONS"
"Crawley","E07000226","District","Female","55-59 years","5 years","2011",2791,"Estimates - ONS"
"Crawley","E07000226","District","Female","60-64 years","5 years","2011",2601,"Estimates - ONS"
"Crawley","E07000226","District","Female","65-69 years","5 years","2011",1773,"Estimates - ONS"
"Crawley","E07000226","District","Female","70-74 years","5 years","2011",1555,"Estimates - ONS"
"Crawley","E07000226","District","Female","75-79 years","5 years","2011",1556,"Estimates - ONS"
"Crawley","E07000226","District","Female","80-84 years","5 years","2011",1497,"Estimates - ONS"
"Crawley","E07000226","District","Female","85-89 years","5 years","2011",916,"Estimates - ONS"
"Crawley","E07000226","District","Female","90+ years","5 years","2011",443,"Estimates - ONS"
"Crawley","E07000226","District","Male","0-4 years","5 years","2011",4205,"Estimates - ONS"
"Crawley","E07000226","District","Male","10-14 years","5 years","2011",3248,"Estimates - ONS"
"Crawley","E07000226","District","Male","15-19 years","5 years","2011",3190,"Estimates - ONS"
"Crawley","E07000226","District","Male","20-24 years","5 years","2011",3282,"Estimates - ONS"
"Crawley","E07000226","District","Male","25-29 years","5 years","2011",4398,"Estimates - ONS"
"Crawley","E07000226","District","Male","30-34 years","5 years","2011",4669,"Estimates - ONS"
"Crawley","E07000226","District","Male","35-39 years","5 years","2011",4103,"Estimates - ONS"
"Crawley","E07000226","District","Male","40-44 years","5 years","2011",4184,"Estimates - ONS"
"Crawley","E07000226","District","Male","45-49 years","5 years","2011",3821,"Estimates - ONS"
"Crawley","E07000226","District","Male","5-9 years","5 years","2011",3419,"Estimates - ONS"
"Crawley","E07000226","District","Male","50-54 years","5 years","2011",3317,"Estimates - ONS"
"Crawley","E07000226","District","Male","55-59 years","5 years","2011",2756,"Estimates - ONS"
"Crawley","E07000226","District","Male","60-64 years","5 years","2011",2503,"Estimates - ONS"
"Crawley","E07000226","District","Male","65-69 years","5 years","2011",1748,"Estimates - ONS"
"Crawley","E07000226","District","Male","70-74 years","5 years","2011",1295,"Estimates - ONS"
"Crawley","E07000226","District","Male","75-79 years","5 years","2011",1104,"Estimates - ONS"
"Crawley","E07000226","District","Male","80-84 years","5 years","2011",962,"Estimates - ONS"
"Crawley","E07000226","District","Male","85-89 years","5 years","2011",524,"Estimates - ONS"
"Crawley","E07000226","District","Male","90+ years","5 years","2011",190,"Estimates - ONS"
"Horsham","E07000227","District","Female","0-4 years","5 years","2011",3406,"Estimates - ONS"
"Horsham","E07000227","District","Female","10-14 years","5 years","2011",4096,"Estimates - ONS"
"Horsham","E07000227","District","Female","15-19 years","5 years","2011",3876,"Estimates - ONS"
"Horsham","E07000227","District","Female","20-24 years","5 years","2011",2687,"Estimates - ONS"
"Horsham","E07000227","District","Female","25-29 years","5 years","2011",2940,"Estimates - ONS"
"Horsham","E07000227","District","Female","30-34 years","5 years","2011",3541,"Estimates - ONS"
"Horsham","E07000227","District","Female","35-39 years","5 years","2011",4257,"Estimates - ONS"
"Horsham","E07000227","District","Female","40-44 years","5 years","2011",5333,"Estimates - ONS"
"Horsham","E07000227","District","Female","45-49 years","5 years","2011",5659,"Estimates - ONS"
"Horsham","E07000227","District","Female","5-9 years","5 years","2011",3558,"Estimates - ONS"
"Horsham","E07000227","District","Female","50-54 years","5 years","2011",4963,"Estimates - ONS"
"Horsham","E07000227","District","Female","55-59 years","5 years","2011",4302,"Estimates - ONS"
"Horsham","E07000227","District","Female","60-64 years","5 years","2011",4571,"Estimates - ONS"
"Horsham","E07000227","District","Female","65-69 years","5 years","2011",3851,"Estimates - ONS"
"Horsham","E07000227","District","Female","70-74 years","5 years","2011",3095,"Estimates - ONS"
"Horsham","E07000227","District","Female","75-79 years","5 years","2011",2686,"Estimates - ONS"
"Horsham","E07000227","District","Female","80-84 years","5 years","2011",2230,"Estimates - ONS"
"Horsham","E07000227","District","Female","85-89 years","5 years","2011",1502,"Estimates - ONS"
"Horsham","E07000227","District","Female","90+ years","5 years","2011",1029,"Estimates - ONS"
"Horsham","E07000227","District","Male","0-4 years","5 years","2011",3737,"Estimates - ONS"
"Horsham","E07000227","District","Male","10-14 years","5 years","2011",4342,"Estimates - ONS"
"Horsham","E07000227","District","Male","15-19 years","5 years","2011",4145,"Estimates - ONS"
"Horsham","E07000227","District","Male","20-24 years","5 years","2011",2947,"Estimates - ONS"
"Horsham","E07000227","District","Male","25-29 years","5 years","2011",2842,"Estimates - ONS"
"Horsham","E07000227","District","Male","30-34 years","5 years","2011",3201,"Estimates - ONS"
"Horsham","E07000227","District","Male","35-39 years","5 years","2011",3800,"Estimates - ONS"
"Horsham","E07000227","District","Male","40-44 years","5 years","2011",4924,"Estimates - ONS"
"Horsham","E07000227","District","Male","45-49 years","5 years","2011",5299,"Estimates - ONS"
"Horsham","E07000227","District","Male","5-9 years","5 years","2011",3735,"Estimates - ONS"
"Horsham","E07000227","District","Male","50-54 years","5 years","2011",4889,"Estimates - ONS"
"Horsham","E07000227","District","Male","55-59 years","5 years","2011",4114,"Estimates - ONS"
"Horsham","E07000227","District","Male","60-64 years","5 years","2011",4477,"Estimates - ONS"
"Horsham","E07000227","District","Male","65-69 years","5 years","2011",3620,"Estimates - ONS"
"Horsham","E07000227","District","Male","70-74 years","5 years","2011",2736,"Estimates - ONS"
"Horsham","E07000227","District","Male","75-79 years","5 years","2011",2254,"Estimates - ONS"
"Horsham","E07000227","District","Male","80-84 years","5 years","2011",1658,"Estimates - ONS"
"Horsham","E07000227","District","Male","85-89 years","5 years","2011",874,"Estimates - ONS"
"Horsham","E07000227","District","Male","90+ years","5 years","2011",364,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","0-4 years","5 years","2011",4161,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","10-14 years","5 years","2011",4104,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","15-19 years","5 years","2011",3979,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","20-24 years","5 years","2011",3098,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","25-29 years","5 years","2011",3703,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","30-34 years","5 years","2011",4108,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","35-39 years","5 years","2011",4905,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","40-44 years","5 years","2011",5597,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","45-49 years","5 years","2011",5617,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","5-9 years","5 years","2011",3939,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","50-54 years","5 years","2011",4862,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","55-59 years","5 years","2011",4362,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","60-64 years","5 years","2011",4679,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","65-69 years","5 years","2011",3947,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","70-74 years","5 years","2011",2858,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","75-79 years","5 years","2011",2591,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","80-84 years","5 years","2011",2343,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","85-89 years","5 years","2011",1575,"Estimates - ONS"
"Mid Sussex","E07000228","District","Female","90+ years","5 years","2011",1119,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","0-4 years","5 years","2011",4166,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","10-14 years","5 years","2011",4565,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","15-19 years","5 years","2011",4480,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","20-24 years","5 years","2011",3325,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","25-29 years","5 years","2011",3823,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","30-34 years","5 years","2011",3909,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","35-39 years","5 years","2011",4479,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","40-44 years","5 years","2011",5414,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","45-49 years","5 years","2011",5543,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","5-9 years","5 years","2011",4270,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","50-54 years","5 years","2011",4694,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","55-59 years","5 years","2011",4305,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","60-64 years","5 years","2011",4517,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","65-69 years","5 years","2011",3642,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","70-74 years","5 years","2011",2522,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","75-79 years","5 years","2011",2134,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","80-84 years","5 years","2011",1610,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","85-89 years","5 years","2011",849,"Estimates - ONS"
"Mid Sussex","E07000228","District","Male","90+ years","5 years","2011",394,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","0-4 years","5 years","2011",12223,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","10-14 years","5 years","2011",12119,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","15-19 years","5 years","2011",12774,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","20-24 years","5 years","2011",12047,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","25-29 years","5 years","2011",11801,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","30-34 years","5 years","2011",12655,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","35-39 years","5 years","2011",14428,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","40-44 years","5 years","2011",17175,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","45-49 years","5 years","2011",18244,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","5-9 years","5 years","2011",11552,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","50-54 years","5 years","2011",16327,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","55-59 years","5 years","2011",15084,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","60-64 years","5 years","2011",18186,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","65-69 years","5 years","2011",16161,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","70-74 years","5 years","2011",13707,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","75-79 years","5 years","2011",12228,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","80-84 years","5 years","2011",10338,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","85-89 years","5 years","2011",7639,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Female","90+ years","5 years","2011",5110,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","0-4 years","5 years","2011",13275,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","10-14 years","5 years","2011",13081,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","15-19 years","5 years","2011",13649,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","20-24 years","5 years","2011",12103,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","25-29 years","5 years","2011",11526,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","30-34 years","5 years","2011",11631,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","35-39 years","5 years","2011",13084,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","40-44 years","5 years","2011",16554,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","45-49 years","5 years","2011",17048,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","5-9 years","5 years","2011",12371,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","50-54 years","5 years","2011",15355,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","55-59 years","5 years","2011",14168,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","60-64 years","5 years","2011",16392,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","65-69 years","5 years","2011",14794,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","70-74 years","5 years","2011",11829,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","75-79 years","5 years","2011",9845,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","80-84 years","5 years","2011",7363,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","85-89 years","5 years","2011",4220,"Estimates - ONS"
"NHS Coastal West Sussex CCG","E38000213","Clinical Commissioning Group (2018)","Male","90+ years","5 years","2011",1947,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","0-4 years","5 years","2011",3938,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","10-14 years","5 years","2011",2999,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","15-19 years","5 years","2011",3063,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","20-24 years","5 years","2011",3469,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","25-29 years","5 years","2011",4610,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","30-34 years","5 years","2011",4668,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","35-39 years","5 years","2011",4005,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","40-44 years","5 years","2011",3966,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","45-49 years","5 years","2011",3744,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","5-9 years","5 years","2011",3132,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","50-54 years","5 years","2011",3409,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","55-59 years","5 years","2011",2791,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","60-64 years","5 years","2011",2601,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","65-69 years","5 years","2011",1773,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","70-74 years","5 years","2011",1555,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","75-79 years","5 years","2011",1556,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","80-84 years","5 years","2011",1497,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","85-89 years","5 years","2011",916,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Female","90+ years","5 years","2011",443,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Male","0-4 years","5 years","2011",4205,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Male","10-14 years","5 years","2011",3248,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Male","15-19 years","5 years","2011",3190,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Male","20-24 years","5 years","2011",3282,"Estimates - ONS"
"NHS Crawley CCG","E38000039","Clinical Commissioning Group (2018)","Male","25-29 years","5 years","2011",4398,"Estimates - ONS"
